year_month,artistName,trackName,playCount,totalMsPlayed
2025-08,A.R. Rahman,Enna Sona,4,634647
2025-08,A.R. Rahman,Guzarish,3,653970
2025-08,A.R. Rahman,Jashn-E-Bahaaraa,5,1260151
2025-08,A.R. Rahman,Kaise Mujhe,1,343741
2025-08,A.R. Rahman,Maahi Ve,1,240614
2025-08,A.R. Rahman,Masti Ki Paathshala,1,219853
2025-08,A.R. Rahman,Mayya,1,236618
2025-08,A.R. Rahman,Nadaan Parinde,1,384000
2025-08,A.R. Rahman,"Rait Zara Si (From ""Atrangi Re"")",1,29541
2025-08,A.R. Rahman,Rang De Basanti,1,363800
2025-08,A.R. Rahman,Roobaroo,1,282973
2025-08,A.R. Rahman,Saathiya,3,1072021
2025-08,A.R. Rahman,Tere Bina,1,309533
2025-08,A.R. Rahman,"Tum Tak (From ""Raanjhanaa"")",5,1217649
2025-08,AP Dhillon,Thodi Si Daaru,1,2561
2025-08,Aditya Rikhari,Sahiba,3,380196
2025-08,Adnan Sami,Tera Chehra,1,392338
2025-08,Akhil Sachdeva,"Humsafar (From ""Badrinath Ki Dulhania"")",2,536926
2025-08,Alka Yagnik,Jo Bhi Kasmein,1,339840
2025-08,Alka Yagnik,Kitni Bechain Hoke,2,445120
2025-08,Ami Mishra,Hasi - Male Version,1,82683
2025-08,Amit Kumar,Bade Achhe Lagte Hain,1,312080
2025-08,Amit Trivedi,"Iktara (From ""Wake Up Sid"")",5,866444
2025-08,Amit Trivedi,Love You Zindagi,1,35147
2025-08,Anand Raj Anand,Kiya Kiya,1,302210
2025-08,Arijit Singh,Mast Magan,4,1236368
2025-08,Arijit Singh,Raat Bhar,2,651162
2025-08,Arko,Nazm Nazm,1,226941
2025-08,Armaan Malik,Sau Aasmaan,2,234506
2025-08,Atif Aslam,"Aadat - From ""Kalyug""",2,529063
2025-08,Atif Aslam,Hona Tha Pyar,1,400214
2025-08,Atif Aslam,O Meri Laila,2,267533
2025-08,Atif Aslam,Pehli Nazar Mein,1,312892
2025-08,Atif Aslam,Tum,1,279482
2025-08,Atif Aslam,"Woh Lamhe Woh Baatein - From ""Zeher""",1,0
2025-08,Ayushmann Khurrana,Mere Liye Tum Kaafi Ho,1,132158
2025-08,Clinton Cerejo,Hey Ya !,7,1533228
2025-08,Dominique,Ye Tumhari Meri Baatein,3,652805
2025-08,Ed Sheeran,Perfect,5,1683455
2025-08,Ed Sheeran,Sapphire (feat. Arijit Singh) - Remix,1,180646
2025-08,Gajendra Verma,Mann Mera,3,769868
2025-08,Hemant Kumar,Beqarar Karke Hamen Yun Na Jaiye,1,189880
2025-08,Himesh Reshammiya,Main Jahaan Rahoon,3,764776
2025-08,Jagjit Singh,Tum Ko Dekha To Yeh Khayal Aaya,4,694886
2025-08,Jasleen Royal,Nachde Ne Saare,1,194761
