artist_id,artist_name,song_id,song_name,count,totalMsPlayed,year_month
70B80Lwx2sxti0M1Ng9e8K,Udit Narayan,48cmf2ESI39lvkPsof5m3c,Kaho Naa Pyar Hai - Happy,2,847332,2025-08
61JrslREXq98hurYL2hYoc,Lata Mangeshkar,7cr5lQztWig7PqlEEnV4Pp,TUJHSE NARAZ NAHIN ZINDAGI,1,220106,2025-08
1wRPtKGflJrBx9BmLsSwlU,Pritam,4rSmmC6OYmjVOYxr8ruVWN,Mere Bina,1,289560,2025-08
2qV4ArHDzLVSdX6GWy5R1z,Vaibhav Bundhoo,5sJEWKNswsdDLZ9zBBYdPf,Tere Jaisa,1,311827,2025-08
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,5bVmOD7UKfP2iLFUGMtdnS,"Mast Magan (From ""2 States)",1,280126,2025-09
0L5GV6LN8SWWUWIdBbTLTZ,Shankar-Ehsaan-Loy,4Qu8LlchmRCaPBKBArcNsA,Tere Naina,1,278546,2025-08
2oSONSC9zQ4UonDKnLqksx,Atif Aslam,2f7zO0rjaIcGO9Nf0nwL8S,Darasal Lofi Mix,1,249981,2025-09
4oVMLzAqW6qhRpZWt8fNw4,Kailash Kher,77IPBSEbMAiH7gOGfLllKz,Saiyyan - Lofi Flip,1,81080,2025-08
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,6NfXjIsNGXaRaDzdbdxY4m,Jo Bhi Kasmein,1,339840,2025-08
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,59k0VPRjNwVg6P9HVHMW2N,Mileya Mileya,1,43685,2025-08
0DoAmjaArtujfigIshqsj6,Meenal Jain,5ddyGm1vv1smGVoflDtyYV,Gayee Kaam Se,1,253676,2025-08
5Uvn1P3OFu268QovsUAnDu,Madan Mohan,3i11e2jzUtO3jChiFl3v9x,Tere Liye,1,331676,2025-08
0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,05Wws4HqfGzbqRLH0smbpD,"Yeh Sham Mastani (From ""Kati Patang"")",1,276855,2025-08
0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,5r1BxH58zZpdj51nVRXb2o,Yeh Jo Mohabbat Hai,1,247756,2025-08
1wRPtKGflJrBx9BmLsSwlU,Pritam,10rTRsKQDEke6Dd1Qj57Jd,Toh Phir Aao,1,263695,2025-08
4K6blSRoklNdpw4mzLxwfn,Kumar Sanu,5fq7CGNYZKJm38HbLwMg9h,Ek Din Aap,2,330132,2025-08
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,6bdpj89aYEBjhpsenXAsmO,Enna Sona,2,427178,2025-09
4oVMLzAqW6qhRpZWt8fNw4,Kailash Kher,2vR23BjIzpLMtzsyKrM6Mb,Saiyyan,2,687812,2025-08
5GnnSrwNCGyfAU4zuIytiS,Mohit Chauhan,5iyNH1Dmxif1k4Nl1gMeuh,Masakali,2,318768,2025-08
4W91bbPB2CTSsHwt7eqNl7,Javed Ali,6UEhNvccAc4OyEDJYB5brb,Ek Din Teri Raahon,1,292000,2025-08
1SyKki7JI1AZNKwgNMkn25,Sachet-Parampara,0OLTYqD8FpjkLsxJmdWmgi,"Humsafar (From ""Saiyaara"")",1,2524,2025-08
4YgUVg4p7xtMOrOS4GjiJZ,Jatin-Lalit,4T3VAoUDvCJkX5OSYXnng0,Humko Humise Chura Lo,1,473025,2025-09
7HCqGPJcQTyGJ2yqntbuyr,Amit Trivedi,74dP5hqakjK6WAs05TqOwb,Ishaqzaade,1,28733,2025-09
0gXDpqwYNDODn7fB0RDN8J,Mohammed Rafi,126d5bt8Ff1a1CU4c097Ds,Aaj Mausam Bada Beimaan Hai,1,374256,2025-08
0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,1L5Pw7r8NIimfqlkszMouq,"Ek Ladki Bheegi Bhagi Si (From ""Chalti Ka Naam Gaadi"")",1,236800,2025-08
5Uvn1P3OFu268QovsUAnDu,Madan Mohan,7fyIuR4aaWb6iltlAoSkxF,Do Pal,1,265926,2025-09
61JrslREXq98hurYL2hYoc,Lata Mangeshkar,7HCQpQGrg2FJT9mdBs75rm,"Aaja Piya Tohe Pyar Doon (From ""Baharon Ke Sapne"")",1,251414,2025-08
1W8O3VMkoLKHlnPtojVU8l,Kshitij Tarey,6f29DQmAlN5w8HToKGL5Ux,Javeda Zindagi Tose Naina Lage - Jhankar Beats,1,502520,2025-08
19MVxKZZdPj2X0F8pi0OCT,Sukhwinder Singh,2GTasAZimpxzNgE7aXFifI,Dard - E - Disco,1,268712,2025-08
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1SdFBc40uBU5Pqylo05VIC,Rang De Basanti,1,363800,2025-08
2oSONSC9zQ4UonDKnLqksx,Atif Aslam,5sUSbJo0brScvv48ZZ1HrQ,O Meri Laila,2,267533,2025-08
1wRPtKGflJrBx9BmLsSwlU,Pritam,0ayku1IzLHuA3cHY4HxOCN,"Aavan Jaavan (From ""WAR 2"")",1,225308,2025-08
1QvyquqkuuwUzdszyoKIy4,Haricharan,4uLG79ROWYEXx1kJvDVbWI,Tere Rang,1,274297,2025-09
1mBydYMVBECdDmMfE2sEUO,Sachin-Jigar,1vc2yiUsaDbAjcXQp5qM8A,Saibo,3,585525,2025-08
3gBKY0y3dFFVRqicLnVZYz,Alka Yagnik,3KVqw41sR0lTDtbDGWPtzf,Kitni Bechain Hoke,2,445120,2025-08
1bTROl5p3rGTpvKeWnGgrw,Sohail Sen,1ocYa8PoVd5e2vPn0xHJcA,Saiyaara,1,252160,2025-08
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,0og9wKFGgFFNQnrBe7eisG,Uff Teri Adaa,4,608716,2025-08
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1wnozUBSe7OMpmZiTPJC5j,"Tum Tak (From ""Raanjhanaa"")",1,304466,2025-09
1yzgJmZf5CxtFfGfRFm4Si,Gajendra Verma,0mwAlZqPUWpZJIut93y40W,Mann Mera,3,769868,2025-08
