artist_id,artist_name,song_id,song_name,count,totalMsPlayed,year_month,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,genres
1wRPtKGflJrBx9BmLsSwlU,Pritam,0ayku1IzLHuA3cHY4HxOCN,"Aavan Jaavan (From ""WAR 2"")",1,225308,2025-08,,,,,,,,,
3ozYqVCLohfpXIhalkhM8D,Aditya Rikhari,0eLtIxPRNJfsmehITZ1qaJ,Sahiba,3,380196,2025-08,,,,,,,,,
2oSONSC9zQ4UonDKnLqksx,Atif Aslam,5sUSbJo0brScvv48ZZ1HrQ,O Meri Laila,2,267533,2025-08,,,,,,,,,
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,6bdpj89aYEBjhpsenXAsmO,Enna Sona,2,427178,2025-09,,,,,,,,,
1SJOL9HJ08YOn92lFcYf8a,Shankar Mahadevan,0og9wKFGgFFNQnrBe7eisG,Uff Teri Adaa,4,608716,2025-08,,,,,,,,,
1wRPtKGflJrBx9BmLsSwlU,Pritam,18YHbIhrleUkKKj2DvEp79,Zara Sa,1,303680,2025-08,0.468,0.91,0.694,163.842,0.12,0.000304,0.271,0.051,"bollywood, hindi pop, desi, sufi"
61JrslREXq98hurYL2hYoc,Lata Mangeshkar,7HCQpQGrg2FJT9mdBs75rm,"Aaja Piya Tohe Pyar Doon (From ""Baharon Ke Sapne"")",1,251414,2025-08,0.603,0.29,0.581,110.34,0.978,6.34e-05,0.0991,0.0545,"ghazal, bollywood, bhajan, hindi pop, marathi pop"
7HCqGPJcQTyGJ2yqntbuyr,Amit Trivedi,74dP5hqakjK6WAs05TqOwb,Ishaqzaade,1,28733,2025-09,0.32,0.337,0.206,79.098,0.709,0.0,0.0662,0.0611,"bollywood, hindi pop, desi, gujarati garba, gujarati pop"
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,5bVmOD7UKfP2iLFUGMtdnS,"Mast Magan (From ""2 States)",1,280126,2025-09,0.659,0.774,0.883,82.995,0.606,0.000333,0.185,0.0372,"hindi pop, bollywood, desi, bangla pop"
4W91bbPB2CTSsHwt7eqNl7,Javed Ali,6UEhNvccAc4OyEDJYB5brb,Ek Din Teri Raahon,1,292000,2025-08,0.606,0.867,0.7,92.021,0.221,1.26e-05,0.0808,0.112,"sufi, bollywood, hindi pop, qawwali, desi, desi pop"
0GF4shudTAFv8ak9eWdd4Y,Kishore Kumar,05Wws4HqfGzbqRLH0smbpD,"Yeh Sham Mastani (From ""Kati Patang"")",1,276855,2025-08,0.447,0.477,0.571,116.183,0.892,0.0,0.323,0.0344,"bangla pop, ghazal, hindi pop, bollywood"
1QvyquqkuuwUzdszyoKIy4,Haricharan,4uLG79ROWYEXx1kJvDVbWI,Tere Rang,1,274297,2025-09,0.779,0.748,0.852,163.939,0.0614,1.02e-05,0.124,0.205,"mollywood, tamil pop, tollywood, telugu pop, malayalam pop, kollywood, tamil dance, kannada pop"
1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1wnozUBSe7OMpmZiTPJC5j,"Tum Tak (From ""Raanjhanaa"")",1,304466,2025-09,0.72,0.621,0.566,114.987,0.676,0.0,0.0679,0.0491,"tamil pop, kollywood, sufi, bollywood, hindi pop, desi, tamil dance"
5Uvn1P3OFu268QovsUAnDu,Madan Mohan,3i11e2jzUtO3jChiFl3v9x,Tere Liye,1,331676,2025-08,0.525,0.46,0.33,98.007,0.826,0.00202,0.139,0.0246,"bollywood, sufi, qawwali"
4YgUVg4p7xtMOrOS4GjiJZ,Jatin-Lalit,4T3VAoUDvCJkX5OSYXnng0,Humko Humise Chura Lo,1,473025,2025-09,0.548,0.506,0.641,85.628,0.492,0.000442,0.189,0.0495,"bollywood, hindi pop, desi"
